OBJECTID,GEO_ID_TRT,TRACT_LBL,E02001001,M02001001,E02001002,M02001002,E02001003,M02001003,E02001004,M02001004,E02001005,M02001005,E02001006,M02001006,E02001007,M02001007,E02001008,M02001008,E02001009,M02001009,E02001010,M02001010
147,53033021500,Tract 021500,4611,296,3851,349,132,72,9,13,384,100,11,17,33,37,191,121,2,6,189,121
148,53033021600,Tract 021600,5038,316,3993,328,60,46,0,17,522,152,83,73,64,52,316,121,53,49,263,123
149,53033021700,Tract 021700,8655,454,6690,491,144,96,36,34,1239,242,31,38,148,181,367,136,0,17,367,136
150,53033021802,Tract 021802,5818,343,4183,343,22,36,83,156,1254,288,0,17,183,194,93,74,0,17,93,74
151,53033021803,Tract 021803,4943,372,3420,333,214,121,5,9,785,249,8,20,106,102,405,156,50,44,355,163
152,53033021804,Tract 021804,5133,440,3638,404,244,210,19,28,460,158,0,17,372,241,400,237,18,34,382,230
153,53033021903,Tract 021903,6404,528,5256,555,174,122,52,49,540,222,0,17,64,50,318,161,87,92,231,143
154,53033021904,Tract 021904,5007,290,3018,313,110,85,7,17,1356,262,0,17,253,184,263,143,9,14,254,143
155,53033021905,Tract 021905,5674,361,4313,444,8,13,34,47,754,368,0,17,306,231,259,207,17,27,242,204
156,53033021906,Tract 021906,4550,316,3078,285,87,82,5,10,734,175,0,12,341,314,305,144,0,12,305,144
157,53033022001,Tract 022001,5552,426,3987,491,37,57,21,27,506,144,49,71,466,468,486,233,0,17,486,233
158,53033022003,Tract 022003,5069,351,3641,358,73,54,9,16,634,178,13,20,173,176,526,170,94,75,432,151
159,53033022005,Tract 022005,4964,300,3518,348,90,72,33,37,1010,290,0,12,72,73,241,139,0,12,241,139
160,53033022006,Tract 022006,3907,341,3157,314,10,16,1,2,603,143,0,12,20,22,116,77,0,12,116,77
161,53033022101,Tract 022101,4847,232,4114,248,79,89,14,19,477,101,0,12,10,14,153,65,0,12,153,65
162,53033022102,Tract 022102,6463,287,4950,299,1,4,12,18,1069,190,0,17,128,101,303,125,44,54,259,124
163,53033022201,Tract 022201,4430,275,3548,260,72,59,0,12,427,132,6,12,89,70,288,124,32,32,256,110
164,53033022202,Tract 022202,7509,521,5530,495,38,42,0,17,1281,324,0,17,339,103,321,189,0,17,321,189
165,53033022203,Tract 022203,4918,255,4062,251,70,56,0,12,601,103,0,12,32,30,153,74,0,12,153,74
166,53033022300,Tract 022300,2779,154,2339,202,10,17,0,12,205,100,0,12,57,62,168,103,0,12,168,103
167,53033022400,Tract 022400,8611,611,7077,577,23,28,19,29,958,268,0,17,187,192,347,151,15,24,332,148
168,53033022500,Tract 022500,8414,523,6941,547,0,17,18,28,924,247,0,17,89,108,442,170,15,24,427,168
169,53033022603,Tract 022603,6173,426,4006,413,38,44,27,43,1337,278,0,17,294,452,471,278,25,30,446,279
170,53033022604,Tract 022604,5069,336,3947,307,0,17,0,17,793,173,26,45,26,48,277,125,64,71,213,108
171,53033022605,Tract 022605,6347,388,4122,404,79,119,24,37,1730,414,0,17,169,149,223,140,0,17,223,140
172,53033022606,Tract 022606,6087,450,4362,479,104,93,18,28,1451,218,0,17,44,43,108,71,0,17,108,71
173,53033022701,Tract 022701,3315,271,2534,215,78,57,30,43,471,193,0,12,12,17,190,165,19,22,171,162
174,53033022702,Tract 022702,4182,331,3314,308,45,32,12,14,453,134,30,48,14,18,314,127,4,7,310,127
175,53033022703,Tract 022703,2357,221,1657,187,117,110,0,12,475,103,0,12,1,4,107,60,0,12,107,60
176,53033022801,Tract 022801,9233,574,3607,538,314,369,42,50,4911,671,0,17,48,78,311,169,122,109,189,127
